LearningStyle_Cluster,Performance_Cluster,Affective_Cluster,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningPerformance_Cluster,LearningStyle,Motivation,OnlineCourses,Resources,StressLevel,StudyHours
2,3,0,19,78,61,0,1,73,1,1,1,1,3,1,1,18,0,2,17
0,1,2,18,61,61,1,1,88,1,0,1,1,1,2,1,9,0,0,17
3,3,0,19,78,61,0,1,73,1,1,1,1,3,1,2,18,1,2,17
0,1,0,18,61,61,1,1,88,1,0,1,1,1,2,2,9,1,0,17
2,3,0,19,78,61,0,1,73,0,1,1,1,3,1,0,18,2,2,17
1,1,0,18,61,61,1,1,88,0,0,1,1,1,2,0,9,2,0,17
3,3,0,19,78,61,0,1,73,1,1,1,1,3,1,2,18,1,2,17
0,1,0,18,61,61,1,1,88,1,0,1,1,1,2,2,9,1,0,17
3,3,0,19,78,61,0,1,73,1,1,1,1,3,1,2,18,1,2,17
0,1,0,18,61,61,1,1,88,1,0,1,1,1,2,2,9,1,0,17
3,3,1,19,80,89,0,1,86,1,0,0,1,3,1,1,15,1,2,15
3,3,2,21,88,89,0,1,77,1,1,0,1,3,0,1,19,1,1,15
3,2,1,29,96,89,1,1,71,1,1,0,1,2,1,1,11,1,0,15
3,1,1,23,65,97,1,0,96,1,0,1,1,1,1,1,17,0,2,19
2,1,1,23,65,97,1,0,96,0,0,1,1,1,1,1,17,0,2,19
2,1,1,23,65,97,1,0,96,0,0,1,1,1,1,1,17,2,2,19
2,1,1,23,65,97,1,0,96,0,0,1,1,1,1,1,17,0,2,19
3,1,1,23,65,97,1,0,96,1,0,1,1,1,1,1,17,0,2,19
3,1,1,23,65,97,1,0,96,0,0,1,1,1,1,1,17,1,2,19
2,1,1,23,65,97,1,0,96,0,0,1,1,1,1,0,17,2,2,19
3,1,1,23,65,97,1,0,96,0,0,1,1,1,1,0,17,1,2,19
3,1,1,23,65,97,1,0,96,1,0,1,1,1,1,2,17,1,2,19
0,3,2,27,96,86,1,1,92,1,0,1,0,3,1,1,2,0,1,14
0,3,2,27,96,86,1,1,92,1,0,1,1,3,1,1,2,0,1,14
0,3,2,27,96,86,1,1,92,1,0,1,1,3,1,0,2,0,1,14
0,3,2,27,96,86,1,1,92,1,0,1,1,3,1,1,2,2,1,14
2,3,2,23,85,62,0,1,88,0,0,0,1,3,3,1,13,2,1,13
1,0,2,21,61,62,0,0,64,0,2,0,1,0,2,1,2,2,1,13
1,1,0,18,65,62,1,1,75,0,1,0,1,1,2,1,6,2,2,13
1,2,2,25,81,62,1,1,49,0,3,0,1,2,3,1,7,2,0,13
3,3,2,23,85,62,0,1,88,1,0,0,0,3,3,1,13,1,1,13
0,0,2,21,61,62,0,0,64,1,2,0,0,0,2,1,2,1,1,13
0,1,0,18,65,62,1,1,75,1,1,0,0,1,2,1,6,1,2,13
0,2,2,25,81,62,1,1,49,1,3,0,0,2,3,1,7,1,0,13
3,3,0,23,85,62,0,1,88,1,0,0,1,3,3,0,13,1,1,13
0,0,0,21,61,62,0,0,64,1,2,0,1,0,2,0,2,1,1,13
0,1,0,18,65,62,1,1,75,1,1,0,1,1,2,0,6,1,2,13
0,2,0,25,81,62,1,1,49,1,3,0,1,2,3,0,7,1,0,13
3,0,2,26,67,79,1,1,51,1,3,0,0,0,1,0,18,0,1,20
3,0,2,26,67,79,1,1,51,1,3,0,1,0,1,2,18,1,1,20
3,0,2,26,67,79,1,1,51,0,3,0,1,0,1,1,18,1,1,20
3,0,2,26,67,79,1,1,51,0,3,0,1,0,1,0,18,1,1,20
3,0,2,26,67,79,1,1,51,1,3,0,1,0,1,0,18,0,1,20
3,0,2,26,67,79,1,1,51,1,3,0,1,0,1,1,18,1,1,20
0,3,1,18,78,88,1,0,97,1,0,1,1,3,3,2,5,1,2,21
0,0,2,27,51,88,1,1,57,1,2,1,1,0,0,2,6,1,1,21
0,3,1,18,78,88,1,0,97,1,0,1,0,3,3,0,5,1,2,21
0,0,2,27,51,88,1,1,57,1,2,1,0,0,0,0,6,1,1,21
0,3,1,18,78,88,1,0,97,1,0,1,1,3,3,1,5,0,2,21
0,0,2,27,51,88,1,1,57,1,2,1,1,0,0,1,6,0,1,21
1,3,1,18,78,88,1,0,97,0,0,1,1,3,3,1,5,0,2,21
1,0,2,27,51,88,1,1,57,0,2,1,1,0,0,1,6,0,1,21
0,3,1,18,78,88,1,0,97,0,0,1,1,3,3,1,5,1,2,21
0,0,2,27,51,88,1,1,57,0,2,1,1,0,0,1,6,1,1,21
1,3,1,18,78,88,1,0,97,0,0,1,1,3,3,1,5,0,2,21
1,0,2,27,51,88,1,1,57,0,2,1,1,0,0,1,6,0,1,21
0,3,1,18,78,88,1,0,97,0,0,1,1,3,3,0,5,1,2,21
0,0,2,27,51,88,1,1,57,0,2,1,1,0,0,0,6,1,1,21
1,2,2,23,76,79,0,1,61,0,2,0,1,2,0,0,6,2,1,19
1,1,0,23,61,79,1,0,97,0,0,0,1,1,2,0,10,2,2,19
1,0,0,18,60,79,0,0,67,0,2,0,1,0,0,0,1,2,2,19
1,2,2,23,76,79,0,1,61,1,2,0,1,2,0,1,6,2,1,19
3,1,1,23,61,79,1,0,97,1,0,0,1,1,2,1,10,2,2,19
1,0,1,18,60,79,0,0,67,1,2,0,1,0,0,1,1,2,2,19
0,2,2,23,76,79,0,1,61,1,2,0,1,2,0,2,6,1,1,19
3,1,0,23,61,79,1,0,97,1,0,0,1,1,2,2,10,1,2,19
0,0,0,18,60,79,0,0,67,1,2,0,1,0,0,2,1,1,2,19
0,2,2,23,76,79,0,1,61,1,2,0,1,2,0,1,6,1,1,19
3,1,1,23,61,79,1,0,97,1,0,0,1,1,2,1,10,1,2,19
0,0,1,18,60,79,0,0,67,1,2,0,1,0,0,1,1,1,2,19
0,2,2,23,76,79,0,1,61,1,2,0,1,2,0,0,6,1,1,19
3,1,0,23,61,79,1,0,97,1,0,0,1,1,2,0,10,1,2,19
0,0,0,18,60,79,0,0,67,1,2,0,1,0,0,0,1,1,2,19
1,1,0,28,61,69,1,0,72,0,1,1,1,1,2,0,9,2,2,24
0,1,0,28,61,69,1,0,72,1,1,1,1,1,2,1,9,0,2,24
0,1,0,28,61,69,1,0,72,1,1,1,1,1,2,1,9,2,2,24
0,1,0,28,61,69,1,0,72,1,1,1,1,1,2,0,9,2,2,24
0,1,0,28,61,69,1,0,72,1,1,1,1,1,2,1,9,0,2,24
1,3,0,19,96,63,0,1,91,0,0,0,1,3,0,1,2,1,2,25
0,3,0,19,96,63,0,1,91,1,0,0,1,3,0,1,2,0,2,25
1,3,0,19,96,63,0,1,91,0,0,0,1,3,0,1,2,1,2,25
1,2,2,20,87,83,0,1,67,0,2,0,1,2,2,1,4,1,1,17
1,2,2,20,87,83,0,1,67,0,2,0,1,2,2,0,4,1,1,17
1,2,2,20,87,83,0,1,67,0,2,0,1,2,2,1,4,1,1,17
2,1,1,19,64,85,0,1,81,0,1,0,1,1,1,2,15,0,0,17
2,1,1,29,53,85,1,1,97,0,0,0,1,1,0,2,16,0,2,17
2,1,0,19,64,85,0,1,81,1,1,0,1,1,1,0,15,0,0,17
3,1,0,29,53,85,1,1,97,1,0,0,1,1,0,0,16,0,2,17
3,1,1,19,64,85,0,1,81,1,1,0,1,1,1,1,15,1,0,17
3,1,1,29,53,85,1,1,97,1,0,0,1,1,0,1,16,1,2,17
2,1,1,19,64,85,0,1,81,1,1,0,1,1,1,1,15,2,0,17
3,1,1,29,53,85,1,1,97,1,0,0,1,1,0,1,16,2,2,17
3,1,1,19,64,85,0,1,81,1,1,0,1,1,1,1,15,1,0,17
3,1,1,29,53,85,1,1,97,1,0,0,1,1,0,1,16,1,2,17
2,1,1,19,64,85,0,1,81,1,1,0,1,1,1,1,15,2,0,17
3,1,1,29,53,85,1,1,97,1,0,0,1,1,0,1,16,2,2,17
0,2,1,24,86,80,1,1,54,1,3,0,1,2,1,1,3,0,2,18
2,0,1,24,74,80,0,1,61,1,2,0,1,0,1,1,14,0,2,18
2,2,2,29,90,80,0,1,71,1,1,0,1,2,2,1,17,0,0,18
2,1,2,24,74,80,0,1,83,1,1,0,1,1,0,1,16,0,0,18
0,2,1,24,86,80,1,1,54,1,3,0,1,2,1,1,3,2,2,18
2,0,1,24,74,80,0,1,61,1,2,0,1,0,1,1,14,2,2,18
2,2,2,29,90,80,0,1,71,1,1,0,1,2,2,1,17,2,0,18
2,1,2,24,74,80,0,1,83,1,1,0,1,1,0,1,16,2,0,18
0,2,1,24,86,80,1,1,54,1,3,0,1,2,1,1,3,0,2,18
2,0,1,24,74,80,0,1,61,1,2,0,1,0,1,1,14,0,2,18
2,2,2,29,90,80,0,1,71,1,1,0,1,2,2,1,17,0,0,18
2,1,2,24,74,80,0,1,83,1,1,0,1,1,0,1,16,0,0,18
0,3,1,26,83,93,1,0,81,0,1,0,1,3,3,2,4,1,1,6
3,2,1,18,86,94,1,1,41,1,3,0,0,2,3,2,13,0,2,11
2,2,1,22,91,94,0,1,40,1,3,0,0,2,2,2,15,0,1,11
3,0,1,22,75,94,1,1,50,1,3,0,0,0,1,2,14,0,2,11
3,3,1,21,83,94,1,1,100,1,0,0,0,3,0,2,18,0,2,11
3,2,1,18,86,94,1,1,41,1,3,0,1,2,3,2,13,2,2,11
2,2,1,22,91,94,0,1,40,1,3,0,1,2,2,2,15,2,1,11
3,0,1,22,75,94,1,1,50,1,3,0,1,0,1,2,14,2,2,11
3,3,1,21,83,94,1,1,100,1,0,0,1,3,0,2,18,2,2,11
3,2,1,18,86,94,1,1,41,0,3,0,1,2,3,1,13,1,2,11
2,2,1,22,91,94,0,1,40,0,3,0,1,2,2,1,15,1,1,11
3,0,1,22,75,94,1,1,50,0,3,0,1,0,1,1,14,1,2,11
3,3,1,21,83,94,1,1,100,0,0,0,1,3,0,1,18,1,2,11
3,3,1,27,75,85,1,1,87,1,0,1,1,3,2,1,19,2,2,28
0,0,1,22,54,85,1,0,43,1,3,1,1,0,1,1,0,2,0,28
3,3,0,27,75,85,1,1,87,1,0,1,1,3,2,0,19,1,2,28
0,0,0,22,54,85,1,0,43,1,3,1,1,0,1,0,0,1,0,28
3,3,0,27,75,85,1,1,87,1,0,1,1,3,2,0,19,1,2,28
0,0,0,22,54,85,1,0,43,1,3,1,1,0,1,0,0,1,0,28
2,3,0,27,75,85,1,1,87,0,0,1,1,3,2,0,19,0,2,28
0,0,0,22,54,85,1,0,43,0,3,1,1,0,1,0,0,0,0,28
3,3,0,23,89,61,1,1,83,1,1,0,1,3,2,1,14,2,2,30
3,3,0,23,89,61,1,1,83,1,1,0,1,3,2,0,14,2,2,30
2,2,2,27,77,88,0,0,45,0,3,0,1,2,3,1,10,0,1,19
2,0,1,27,74,88,0,1,68,0,2,0,1,0,0,1,15,0,2,19
1,2,2,27,77,88,0,0,45,0,3,0,1,2,3,1,10,2,1,19
2,0,1,27,74,88,0,1,68,0,2,0,1,0,0,1,15,2,2,19
3,2,1,21,99,86,1,1,53,1,3,1,1,2,2,0,11,2,0,38
3,2,2,28,83,74,1,1,45,0,3,0,1,2,2,1,14,2,0,27
3,0,2,28,66,74,1,1,57,0,2,0,1,0,1,1,14,2,1,27
1,2,2,20,76,74,1,1,62,0,2,0,1,2,3,1,6,2,1,27
1,0,2,19,66,74,1,1,69,0,2,0,1,0,0,1,8,2,2,27
3,2,0,28,83,74,1,1,45,1,3,0,1,2,2,0,14,2,0,27
3,0,2,28,66,74,1,1,57,1,2,0,1,0,1,0,14,2,1,27
0,2,2,20,76,74,1,1,62,1,2,0,1,2,3,0,6,2,1,27
0,0,0,19,66,74,1,1,69,1,2,0,1,0,0,0,8,2,2,27
3,2,2,28,83,74,1,1,45,0,3,0,1,2,2,1,14,2,0,27
3,0,2,28,66,74,1,1,57,0,2,0,1,0,1,1,14,2,1,27
1,2,2,20,76,74,1,1,62,0,2,0,1,2,3,1,6,2,1,27
1,0,2,19,66,74,1,1,69,0,2,0,1,0,0,1,8,2,2,27
3,1,0,26,72,65,1,1,75,1,1,0,1,1,0,1,18,1,2,14
3,3,2,20,93,65,1,0,96,1,0,0,1,3,0,1,15,1,1,14
3,1,0,26,72,65,1,1,75,1,1,0,1,1,0,0,18,2,2,14
3,3,0,20,93,65,1,0,96,1,0,0,1,3,0,0,15,2,1,14
3,3,0,19,79,60,0,0,76,1,1,0,1,3,2,0,13,2,1,21
3,0,0,27,50,60,1,1,40,1,3,0,1,0,3,0,19,2,1,21
1,1,0,19,63,60,0,1,74,1,1,0,1,1,0,0,4,2,2,21
0,0,0,18,56,60,1,1,63,1,2,0,1,0,2,0,8,2,1,21
2,3,2,19,79,60,0,0,76,0,1,0,1,3,2,1,13,0,1,21
2,0,2,27,50,60,1,1,40,0,3,0,1,0,3,1,19,0,1,21
1,1,0,19,63,60,0,1,74,0,1,0,1,1,0,1,4,0,2,21
1,0,2,18,56,60,1,1,63,0,2,0,1,0,2,1,8,0,1,21
3,3,1,28,82,97,0,0,98,1,0,1,1,3,3,1,14,1,0,15
3,1,1,24,53,97,0,1,97,1,0,1,1,1,1,1,20,1,1,15
0,0,1,19,69,97,1,1,41,1,3,1,1,0,0,1,8,1,2,15
2,3,1,28,82,97,0,0,98,0,0,1,1,3,3,2,14,2,0,15
2,1,1,24,53,97,0,1,97,0,0,1,1,1,1,2,20,2,1,15
1,0,1,19,69,97,1,1,41,0,3,1,1,0,0,2,8,2,2,15
1,3,2,28,91,65,0,0,78,0,1,0,1,3,0,1,4,2,0,11
1,1,0,21,70,65,1,1,97,0,0,0,1,1,0,1,1,2,2,11
0,3,2,28,91,65,0,0,78,1,1,0,1,3,0,1,4,0,0,11
0,1,0,21,70,65,1,1,97,1,0,0,1,1,0,1,1,0,2,11
0,3,2,18,90,73,1,1,75,1,1,0,1,3,2,1,4,1,0,14
0,2,2,22,81,73,0,1,40,1,3,0,1,2,1,1,7,1,2,14
0,2,2,22,95,73,1,1,69,1,2,0,1,2,3,1,1,1,1,14
0,2,2,28,98,73,0,0,68,1,2,0,1,2,3,1,3,1,1,14
0,1,2,28,60,73,1,1,75,1,1,0,1,1,3,1,2,1,0,14
3,3,2,18,98,73,0,0,93,1,0,0,1,3,2,1,10,1,2,14
0,0,2,28,53,73,0,0,68,1,2,0,1,0,1,1,1,1,2,14
0,3,0,18,90,73,1,1,75,1,1,0,1,3,2,0,4,0,0,14
1,2,0,22,81,73,0,1,40,1,3,0,1,2,1,0,7,0,2,14
0,2,2,22,95,73,1,1,69,1,2,0,1,2,3,0,1,0,1,14
0,2,2,28,98,73,0,0,68,1,2,0,1,2,3,0,3,0,1,14
0,1,0,28,60,73,1,1,75,1,1,0,1,1,3,0,2,0,0,14
2,3,0,18,98,73,0,0,93,1,0,0,1,3,2,0,10,0,2,14
0,0,0,28,53,73,0,0,68,1,2,0,1,0,1,0,1,0,2,14
0,3,2,18,90,73,1,1,75,1,1,0,1,3,2,1,4,2,0,14
1,2,2,22,81,73,0,1,40,1,3,0,1,2,1,1,7,2,2,14
0,2,2,22,95,73,1,1,69,1,2,0,1,2,3,1,1,2,1,14
1,2,2,28,98,73,0,0,68,1,2,0,1,2,3,1,3,2,1,14
0,1,2,28,60,73,1,1,75,1,1,0,1,1,3,1,2,2,0,14
1,3,2,18,98,73,0,0,93,1,0,0,1,3,2,1,10,2,2,14
1,0,2,28,53,73,0,0,68,1,2,0,1,0,1,1,1,2,2,14
0,3,2,18,90,73,1,1,75,0,1,0,1,3,2,2,4,1,0,14
1,2,0,22,81,73,0,1,40,0,3,0,1,2,1,2,7,1,2,14
0,2,2,22,95,73,1,1,69,0,2,0,1,2,3,2,1,1,1,14
1,2,2,28,98,73,0,0,68,0,2,0,1,2,3,2,3,1,1,14
0,1,2,28,60,73,1,1,75,0,1,0,1,1,3,2,2,1,0,14
1,3,0,18,98,73,0,0,93,0,0,0,1,3,2,2,10,1,2,14
1,0,0,28,53,73,0,0,68,0,2,0,1,0,1,2,1,1,2,14
0,3,2,18,90,73,1,1,75,1,1,0,1,3,2,2,4,1,0,14
0,2,0,22,81,73,0,1,40,1,3,0,1,2,1,2,7,1,2,14
0,2,2,22,95,73,1,1,69,1,2,0,1,2,3,2,1,1,1,14
0,2,2,28,98,73,0,0,68,1,2,0,1,2,3,2,3,1,1,14
0,1,2,28,60,73,1,1,75,1,1,0,1,1,3,2,2,1,0,14
3,3,0,18,98,73,0,0,93,1,0,0,1,3,2,2,10,1,2,14
0,0,0,28,53,73,0,0,68,1,2,0,1,0,1,2,1,1,2,14
3,2,2,22,96,75,1,0,40,0,3,0,1,2,1,2,15,2,1,30
2,0,2,22,60,75,0,1,63,0,2,0,1,0,1,2,17,2,0,30
1,3,2,19,77,75,0,1,92,0,0,0,1,3,0,2,3,2,0,30
3,0,2,23,55,75,1,1,69,0,2,0,1,0,1,2,16,2,0,30
1,0,2,22,57,75,1,1,64,0,2,0,1,0,0,2,12,2,1,30
2,0,0,27,68,61,0,1,56,1,2,0,1,0,1,1,13,0,2,20
0,2,2,29,91,61,1,0,70,1,1,0,1,2,2,1,1,0,0,20
3,1,0,25,72,61,1,1,82,1,1,0,1,1,1,1,18,0,2,20
2,1,0,28,69,61,0,1,91,1,0,0,1,1,2,1,9,0,2,20
2,0,0,27,68,61,0,1,56,1,2,0,1,0,1,0,13,0,2,20
0,2,0,29,91,61,1,0,70,1,1,0,1,2,2,0,1,0,0,20
3,1,0,25,72,61,1,1,82,1,1,0,1,1,1,0,18,0,2,20
2,1,0,28,69,61,0,1,91,1,0,0,1,1,2,0,9,0,2,20
3,0,0,27,68,61,0,1,56,1,2,0,1,0,1,1,13,2,2,20
0,2,2,29,91,61,1,0,70,1,1,0,1,2,2,1,1,2,0,20
3,1,0,25,72,61,1,1,82,1,1,0,1,1,1,1,18,2,2,20
1,1,0,28,69,61,0,1,91,1,0,0,1,1,2,1,9,2,2,20
2,0,0,27,68,61,0,1,56,0,2,0,1,0,1,1,13,2,2,20
1,2,2,29,91,61,1,0,70,0,1,0,1,2,2,1,1,2,0,20
2,1,0,25,72,61,1,1,82,0,1,0,1,1,1,1,18,2,2,20
1,1,0,28,69,61,0,1,91,0,0,0,1,1,2,1,9,2,2,20
2,0,0,27,68,61,0,1,56,0,2,0,1,0,1,1,13,2,2,20
1,2,2,29,91,61,1,0,70,0,1,0,1,2,2,1,1,2,0,20
2,1,0,25,72,61,1,1,82,0,1,0,1,1,1,1,18,2,2,20
1,1,0,28,69,61,0,1,91,0,0,0,1,1,2,1,9,2,2,20
0,1,2,29,59,73,1,0,78,1,1,1,1,1,0,1,1,0,2,15
1,1,0,29,59,73,1,0,78,0,1,1,1,1,0,0,1,2,2,15
0,1,2,29,59,73,1,0,78,1,1,1,1,1,0,1,1,2,2,15
1,1,2,29,59,73,1,0,78,0,1,1,1,1,0,1,1,2,2,15
1,1,0,29,59,73,1,0,78,0,1,1,0,1,0,0,1,2,2,15
3,3,1,28,99,92,0,0,83,1,1,1,1,3,0,2,19,1,1,29
0,0,1,20,55,92,1,1,49,1,3,1,1,0,1,2,2,1,1,29
2,3,1,28,99,92,0,0,83,1,1,1,1,3,0,1,19,0,1,29
0,0,1,20,55,92,1,1,49,1,3,1,1,0,1,1,2,0,1,29
2,3,1,28,99,92,0,0,83,0,1,1,1,3,0,0,19,2,1,29
1,0,1,20,55,92,1,1,49,0,3,1,1,0,1,0,2,2,1,29
0,2,2,18,86,88,1,0,45,1,3,1,1,2,2,1,5,1,1,23
3,3,1,23,84,88,0,0,93,1,0,1,1,3,3,1,19,1,2,23
3,3,1,25,91,88,0,1,91,1,0,1,1,3,1,1,11,1,0,23
3,3,2,29,81,88,1,0,96,1,0,1,1,3,0,1,16,1,1,23
0,2,2,18,86,88,1,0,45,0,3,1,1,2,2,1,5,1,1,23
2,3,1,23,84,88,0,0,93,0,0,1,1,3,3,1,19,1,2,23
2,3,1,25,91,88,0,1,91,0,0,1,1,3,1,1,11,1,0,23
3,3,2,29,81,88,1,0,96,0,0,1,1,3,0,1,16,1,1,23
1,2,2,18,86,88,1,0,45,0,3,1,0,2,2,0,5,2,1,23
2,3,1,23,84,88,0,0,93,0,0,1,0,3,3,0,19,2,2,23
1,3,1,25,91,88,0,1,91,0,0,1,0,3,1,0,11,2,0,23
3,3,2,29,81,88,1,0,96,0,0,1,0,3,0,0,16,2,1,23
0,2,2,18,86,88,1,0,45,1,3,1,1,2,2,1,5,0,1,23
2,3,1,23,84,88,0,0,93,1,0,1,1,3,3,1,19,0,2,23
2,3,1,25,91,88,0,1,91,1,0,1,1,3,1,1,11,0,0,23
3,3,2,29,81,88,1,0,96,1,0,1,1,3,0,1,16,0,1,23
0,2,2,18,86,88,1,0,45,1,3,1,1,2,2,1,5,0,1,23
2,3,1,23,84,88,0,0,93,1,0,1,1,3,3,1,19,0,2,23
2,3,1,25,91,88,0,1,91,1,0,1,1,3,1,1,11,0,0,23
3,3,2,29,81,88,1,0,96,1,0,1,1,3,0,1,16,0,1,23
0,2,2,18,86,88,1,0,45,1,3,1,1,2,2,0,5,1,1,23
3,3,1,23,84,88,0,0,93,1,0,1,1,3,3,0,19,1,2,23
3,3,1,25,91,88,0,1,91,1,0,1,1,3,1,0,11,1,0,23
3,3,2,29,81,88,1,0,96,1,0,1,1,3,0,0,16,1,1,23
0,2,2,18,86,88,1,0,45,0,3,1,1,2,2,1,5,1,1,23
2,3,1,23,84,88,0,0,93,0,0,1,1,3,3,1,19,1,2,23
2,3,1,25,91,88,0,1,91,0,0,1,1,3,1,1,11,1,0,23
3,3,2,29,81,88,1,0,96,0,0,1,1,3,0,1,16,1,1,23
0,2,1,25,88,89,1,0,51,1,3,1,1,2,3,1,8,2,2,14
3,0,2,19,74,89,1,1,65,1,2,1,1,0,0,1,15,2,1,14
1,2,1,25,88,89,1,0,51,0,3,1,1,2,3,0,8,2,2,14
2,0,2,19,74,89,1,1,65,0,2,1,1,0,0,0,15,2,1,14
0,2,1,25,88,89,1,0,51,1,3,1,1,2,3,0,8,2,2,14
3,0,2,19,74,89,1,1,65,1,2,1,1,0,0,0,15,2,1,14
0,2,1,25,88,89,1,0,51,1,3,1,1,2,3,2,8,1,2,14
3,0,2,19,74,89,1,1,65,1,2,1,1,0,0,2,15,1,1,14
2,3,0,21,97,72,0,1,95,0,0,0,1,3,1,1,16,2,2,15
2,0,2,28,73,72,1,0,57,0,2,0,1,0,1,1,14,2,1,15
1,3,2,20,99,72,1,0,73,0,1,0,1,3,3,1,1,2,1,15
1,1,0,23,70,72,1,0,86,0,0,0,1,1,0,1,0,2,2,15
3,3,0,21,97,72,0,1,95,1,0,0,1,3,1,2,16,1,2,15
3,0,2,28,73,72,1,0,57,1,2,0,1,0,1,2,14,1,1,15
0,3,2,20,99,72,1,0,73,1,1,0,1,3,3,2,1,1,1,15
0,1,0,23,70,72,1,0,86,1,0,0,1,1,0,2,0,1,2,15
2,3,0,21,97,72,0,1,95,1,0,0,1,3,1,1,16,0,2,15
3,0,2,28,73,72,1,0,57,1,2,0,1,0,1,1,14,0,1,15
0,3,2,20,99,72,1,0,73,1,1,0,1,3,3,1,1,0,1,15
0,1,0,23,70,72,1,0,86,1,0,0,1,1,0,1,0,0,2,15
0,1,2,22,64,64,0,1,84,1,1,1,1,1,2,2,2,0,1,12
1,1,0,23,54,64,0,1,88,1,0,1,1,1,3,2,6,0,2,12
0,2,0,23,86,64,0,1,51,1,3,1,1,2,1,2,1,0,2,12
1,1,2,22,64,64,0,1,84,0,1,1,1,1,2,1,2,0,1,12
1,1,0,23,54,64,0,1,88,0,0,1,1,1,3,1,6,0,2,12
1,2,0,23,86,64,0,1,51,0,3,1,1,2,1,1,1,0,2,12
1,1,0,22,64,64,0,1,84,0,1,1,0,1,2,0,2,1,1,12
1,1,0,23,54,64,0,1,88,0,0,1,0,1,3,0,6,1,2,12
1,2,0,23,86,64,0,1,51,0,3,1,0,2,1,0,1,1,2,12
1,1,2,22,64,64,0,1,84,1,1,1,0,1,2,1,2,2,1,12
1,1,0,23,54,64,0,1,88,1,0,1,0,1,3,1,6,2,2,12
1,2,0,23,86,64,0,1,51,1,3,1,0,2,1,1,1,2,2,12
1,0,1,19,62,93,0,1,66,1,2,1,1,0,1,1,8,0,1,31
0,3,1,18,89,93,1,0,94,1,0,1,1,3,0,1,7,0,1,31
3,0,1,23,62,93,1,0,66,1,2,1,1,0,2,1,15,0,2,31
1,0,1,19,62,93,0,1,66,0,2,1,1,0,1,0,8,0,1,31
1,3,1,18,89,93,1,0,94,0,0,1,1,3,0,0,7,0,1,31
2,0,1,23,62,93,1,0,66,0,2,1,1,0,2,0,15,0,2,31
1,0,1,19,62,93,0,1,66,0,2,1,1,0,1,1,8,1,1,31
0,3,1,18,89,93,1,0,94,0,0,1,1,3,0,1,7,1,1,31
3,0,1,23,62,93,1,0,66,0,2,1,1,0,2,1,15,1,2,31
1,3,1,22,92,99,0,1,72,0,1,0,1,3,2,0,4,1,0,12
0,1,1,23,56,99,1,1,85,0,0,0,1,1,0,0,8,1,0,12
1,3,1,22,92,99,0,1,72,0,1,0,1,3,2,1,4,2,0,12
1,1,1,23,56,99,1,1,85,0,0,0,1,1,0,1,8,2,0,12
0,3,1,22,92,99,0,1,72,1,1,0,1,3,2,0,4,1,0,12
0,1,1,23,56,99,1,1,85,1,0,0,1,1,0,0,8,1,0,12
3,0,0,20,54,80,0,0,47,1,3,0,1,0,3,0,12,1,2,23
0,3,0,21,97,80,1,1,79,1,1,0,1,3,1,0,4,1,2,23
0,2,0,19,83,80,0,0,68,1,2,0,1,2,1,0,4,1,2,23
3,1,0,29,73,80,1,0,81,1,1,0,1,1,2,0,17,1,0,23
2,0,1,20,54,80,0,0,47,1,3,0,1,0,3,1,12,0,2,23
0,3,1,21,97,80,1,1,79,1,1,0,1,3,1,1,4,0,2,23
0,2,1,19,83,80,0,0,68,1,2,0,1,2,1,1,4,0,2,23
3,1,2,29,73,80,1,0,81,1,1,0,1,1,2,1,17,0,0,23
2,0,0,20,54,80,0,0,47,1,3,0,1,0,3,2,12,0,2,23
0,3,0,21,97,80,1,1,79,1,1,0,1,3,1,2,4,0,2,23
0,2,0,19,83,80,0,0,68,1,2,0,1,2,1,2,4,0,2,23
3,1,2,29,73,80,1,0,81,1,1,0,1,1,2,2,17,0,0,23
2,0,0,20,54,80,0,0,47,0,3,0,1,0,3,0,12,1,2,23
0,3,0,21,97,80,1,1,79,0,1,0,1,3,1,0,4,1,2,23
1,2,0,19,83,80,0,0,68,0,2,0,1,2,1,0,4,1,2,23
3,1,0,29,73,80,1,0,81,0,1,0,1,1,2,0,17,1,0,23
0,1,0,21,58,60,1,1,77,1,1,0,1,1,1,0,0,1,2,16
3,0,0,19,72,60,1,0,57,1,2,0,1,0,2,0,11,1,0,16
3,2,0,25,99,60,1,0,46,1,3,0,1,2,3,0,13,1,1,16
1,1,0,21,58,60,1,1,77,0,1,0,1,1,1,0,0,2,2,16
1,0,0,19,72,60,1,0,57,0,2,0,1,0,2,0,11,2,0,16
2,2,0,25,99,60,1,0,46,0,3,0,1,2,3,0,13,2,1,16
3,2,0,27,99,63,1,1,60,1,2,0,1,2,0,0,12,0,2,20
2,2,0,21,98,63,0,0,50,1,3,0,1,2,0,0,19,0,0,20
0,2,0,26,83,63,1,1,68,1,2,0,1,2,3,0,5,0,2,20
3,2,0,27,99,63,1,1,60,1,2,0,1,2,0,1,12,0,2,20
2,2,2,21,98,63,0,0,50,1,3,0,1,2,0,1,19,0,0,20
0,2,0,26,83,63,1,1,68,1,2,0,1,2,3,1,5,0,2,20
3,2,0,27,99,63,1,1,60,1,2,0,0,2,0,1,12,1,2,20
3,2,2,21,98,63,0,0,50,1,3,0,0,2,0,1,19,1,0,20
